replication_no,time,id,prev_WaitTime,curr_WaitTime,
1,33.503214,14,0.000000,0.000000,
1,72.877764,22,0.000000,0.000000,
1,77.885128,13,0.000000,0.000000,
1,92.300944,32,0.000000,0.000000,
1,98.902543,34,0.000000,0.000000,
1,105.611602,25,0.000000,0.000000,
1,112.768645,36,0.000000,0.000000,
1,130.319049,29,11.988179,11.988179,
1,131.122765,41,0.000000,0.000000,
1,139.034795,42,0.000000,0.000000,
1,146.575390,17,25.263333,25.263333,
1,150.191327,48,0.000000,0.000000,
1,154.723059,37,0.000000,0.000000,
1,166.690628,54,0.000000,0.000000,
1,170.174310,57,0.000000,0.000000,
1,177.045738,56,0.000000,0.000000,
1,177.121321,59,0.000000,0.000000,
1,201.285680,44,15.726638,15.726638,
1,207.427348,50,1.882574,1.882574,
1,210.282092,52,6.390865,6.390865,
1,234.063290,75,0.000000,0.000000,
1,236.981141,78,0.000000,0.000000,
1,240.152698,61,8.295225,8.295225,
1,245.705319,77,0.000000,0.000000,
1,252.798172,83,0.000000,0.000000,
1,269.043434,87,0.000000,0.000000,
1,274.103033,90,0.000000,0.000000,
1,277.332503,58,12.623114,12.623114,
1,280.412857,74,6.158824,6.158824,
1,282.987129,93,0.000000,0.000000,
1,285.741387,92,0.000000,0.000000,
1,288.312503,96,0.000000,0.000000,
1,288.785259,95,0.000000,0.000000,
1,289.630745,94,0.000000,0.000000,
1,298.531521,101,0.000000,0.000000,
1,299.334017,105,0.000000,0.000000,
1,304.013640,81,20.066854,20.066854,
1,307.927979,91,0.000000,0.000000,
1,309.976098,63,47.012294,47.012294,
1,313.486607,89,3.119508,5.018553,
1,314.138901,109,0.000000,0.412105,
1,324.775710,111,0.000000,0.000000,
1,331.333119,97,0.000000,4.246944,
1,333.090754,112,0.000000,5.437061,
1,343.397942,67,37.583718,48.779298,
1,344.401389,102,0.000000,5.288131,
1,354.575778,73,43.274595,43.274595,
1,361.832548,110,0.000000,0.000000,
1,362.895508,120,0.000000,0.000000,
1,364.210283,85,32.210971,32.210971,
1,370.116052,113,0.000000,0.000000,
1,372.146169,115,0.000000,0.000000,
1,374.573106,126,0.000000,0.000000,
1,376.002344,114,0.000000,0.000000,
1,382.419897,88,31.466132,31.466132,
1,390.696713,123,0.000000,0.000000,
1,399.063326,132,0.000000,0.000000,
1,411.124090,135,0.000000,0.000000,
1,419.312084,133,0.000000,5.837446,
1,436.440489,124,0.000000,16.380967,
1,438.435953,139,0.000000,14.611129,
1,440.445914,130,0.000000,13.876167,
1,454.131118,142,0.000000,19.946630,
1,458.986634,134,0.000000,13.764603,
1,459.200315,146,0.000000,2.287379,
1,465.807910,140,0.000000,0.000000,
1,469.578936,149,0.000000,0.000000,
1,470.582514,138,0.000000,0.000000,
1,492.144402,152,0.000000,0.000000,
1,492.819389,156,0.000000,0.000000,
1,494.016014,153,0.000000,0.550633,
1,498.663333,158,0.000000,0.000000,
