attraction,time,availablebicycles,availabledock,replication,
Bicycle A,21,79,1,1,
Bicycle D,30,79,1,1,
Dock B,30,79,1,1,
Dock B,30,80,0,1,
Dock A,33,80,0,1,
Dock B,34,79,1,1,
Bicycle C,34,79,1,1,
Dock C,36,80,0,1,
Bicycle A,38,79,1,1,
Dock B,41,78,2,1,
Dock B,42,79,1,1,
Dock D,46,80,0,1,
Bicycle A,48,78,2,1,
Dock B,49,78,2,1,
Dock B,55,79,1,1,
Bicycle C,55,79,1,1,
Dock C,55,80,0,1,
Dock B,55,78,2,1,
Dock B,58,77,3,1,
Dock B,67,76,4,1,
Bicycle A,69,77,3,1,
Bicycle C,69,79,1,1,
Dock C,69,80,0,1,
Bicycle D,69,79,1,1,
Dock D,69,80,0,1,
Dock B,72,75,5,1,
Bicycle A,72,76,4,1,
Dock A,72,77,3,1,
Dock B,73,74,6,1,
Bicycle D,73,79,1,1,
Dock B,76,75,5,1,
Dock D,76,80,0,1,
Dock A,77,78,2,1,
Bicycle C,77,79,1,1,
Dock C,77,80,0,1,
Bicycle C,78,79,1,1,
Dock C,78,80,0,1,
Dock B,78,76,4,1,
Dock B,81,75,5,1,
Bicycle C,82,79,1,1,
Dock C,82,80,0,1,
Bicycle C,86,79,1,1,
Dock C,86,80,0,1,
Bicycle D,89,79,1,1,
Dock D,89,80,0,1,
Bicycle A,91,77,3,1,
Dock A,92,78,2,1,
Bicycle D,96,79,1,1,
Dock D,96,80,0,1,
Dock B,97,76,4,1,
Dock A,98,79,1,1,
Dock B,98,75,5,1,
Bicycle A,102,78,2,1,
Bicycle D,103,79,1,1,
Dock D,103,80,0,1,
Dock A,105,79,1,1,
Bicycle C,105,79,1,1,
Dock C,105,80,0,1,
Dock B,108,74,6,1,
Bicycle D,109,79,1,1,
Dock D,109,80,0,1,
Dock B,110,73,7,1,
Dock B,110,74,6,1,
Dock A,112,80,0,1,
Dock B,116,73,7,1,
Dock B,118,72,8,1,
Bicycle A,122,79,1,1,
Bicycle C,122,79,1,1,
Dock C,122,80,0,1,
Bicycle D,127,79,1,1,
Dock D,127,80,0,1,
Bicycle D,128,79,1,1,
Dock B,128,73,7,1,
Bicycle A,129,78,2,1,
Dock A,130,79,1,1,
Bicycle C,130,79,1,1,
Dock C,130,80,0,1,
Dock A,131,80,0,1,
Dock D,131,80,0,1,
Dock B,133,74,6,1,
Bicycle D,136,79,1,1,
Bicycle C,136,79,1,1,
Dock C,136,80,0,1,
Bicycle C,136,79,1,1,
Dock C,136,80,0,1,
Bicycle A,136,79,1,1,
Bicycle C,136,79,1,1,
Dock C,136,80,0,1,
Dock D,138,80,0,1,
Dock B,138,73,7,1,
Bicycle C,138,79,1,1,
Dock C,138,80,0,1,
Bicycle A,138,78,2,1,
Dock A,139,79,1,1,
Dock B,141,74,6,1,
Bicycle D,143,79,1,1,
Dock D,143,80,0,1,
Bicycle A,143,78,2,1,
Dock B,145,75,5,1,
Bicycle A,145,77,3,1,
Dock A,146,78,2,1,
Bicycle D,147,79,1,1,
Dock D,147,80,0,1,
Dock B,150,76,4,1,
Dock A,150,79,1,1,
Dock B,150,77,3,1,
Bicycle D,151,79,1,1,
Dock D,151,80,0,1,
Dock A,154,80,0,1,
Bicycle A,156,79,1,1,
Bicycle A,156,78,2,1,
Bicycle A,156,77,3,1,
Bicycle C,157,79,1,1,
Dock C,157,80,0,1,
Bicycle C,159,79,1,1,
Dock C,159,80,0,1,
Dock B,160,76,4,1,
Dock B,161,75,5,1,
Dock B,161,76,4,1,
Dock B,162,77,3,1,
Dock B,162,78,2,1,
Bicycle D,163,79,1,1,
Dock D,163,80,0,1,
Bicycle C,164,79,1,1,
Dock B,164,77,3,1,
Dock A,166,78,2,1,
Bicycle A,166,77,3,1,
Bicycle D,166,79,1,1,
Dock D,166,80,0,1,
Dock C,168,80,0,1,
Dock B,168,76,4,1,
Dock A,170,78,2,1,
Bicycle A,171,77,3,1,
Bicycle C,172,79,1,1,
Dock C,172,80,0,1,
Dock B,172,77,3,1,
Dock B,172,76,4,1,
Bicycle D,173,79,1,1,
Dock D,173,80,0,1,
Bicycle D,174,79,1,1,
Dock D,174,80,0,1,
Bicycle C,175,79,1,1,
Dock C,175,80,0,1,
Bicycle A,176,76,4,1,
Dock B,177,77,3,1,
Dock A,177,77,3,1,
Dock A,177,78,2,1,
Dock B,182,78,2,1,
Bicycle A,182,77,3,1,
Dock B,184,77,3,1,
Dock B,188,78,2,1,
Dock B,190,77,3,1,
Bicycle C,190,79,1,1,
Dock C,190,80,0,1,
Bicycle C,190,79,1,1,
Dock C,190,80,0,1,
Dock B,190,76,4,1,
Dock B,190,75,5,1,
Bicycle A,191,76,4,1,
Bicycle C,191,79,1,1,
Dock B,191,74,6,1,
Dock C,193,80,0,1,
Dock B,196,75,5,1,
Bicycle D,198,79,1,1,
Dock D,198,80,0,1,
Dock A,201,77,3,1,
Dock B,202,74,6,1,
Bicycle A,204,76,4,1,
Bicycle A,204,75,5,1,
Bicycle D,204,79,1,1,
Dock D,204,80,0,1,
Bicycle D,206,79,1,1,
Dock D,206,80,0,1,
Dock A,207,76,4,1,
Dock B,208,75,5,1,
