replication_no,time,id,prev_WaitTime,curr_WaitTime,
1,35.295814,11,0.000000,0.000000,
1,71.316324,10,2.189860,2.189860,
1,2179.225084,17,0.000000,0.000000,
1,2212.271040,12,2051.926393,2051.926393,
1,2243.570928,15,1035.263193,1035.263193,
1,2271.123997,14,1399.490428,1399.490428,
1,3699.218686,21,0.000000,0.000000,
1,5545.672580,28,0.000000,0.000000,
1,5571.489183,18,2798.076738,2798.076738,
1,7284.503665,32,0.000000,0.000000,
1,7313.533526,20,4112.383874,4112.383874,
1,8668.147757,37,0.000000,0.000000,
1,8698.682901,23,4480.537437,4480.537437,
1,10688.419760,43,0.000000,0.000000,
1,10705.851394,27,5374.400073,5374.400073,
1,10749.005277,26,5440.394601,5440.394601,
1,10775.137411,31,4138.456876,4138.456876,
1,10813.560476,29,4947.272107,4947.272107,
1,10843.668048,30,4394.618615,4394.618615,
1,10876.032584,33,3196.714252,3196.714252,
1,10895.840793,34,2857.481763,2857.481763,
1,10920.692015,35,2558.692053,2558.692053,
1,10955.201678,36,2569.697116,2569.697116,
1,10991.016587,38,2132.415144,2132.415144,
1,11805.548968,47,0.000000,0.000000,
1,11829.427245,40,2247.673256,2247.673256,
1,11854.146672,41,1357.625753,1357.625753,
1,11880.461309,45,421.754633,421.754633,
1,11915.301375,44,580.546083,580.546083,
1,11934.350350,46,382.463626,382.463626,
1,12140.082894,49,0.000000,0.000000,
1,12552.921721,53,0.000000,0.000000,
1,12575.517832,50,354.324446,354.324446,
1,12611.609258,52,273.292615,273.292615,
1,12972.625577,55,0.000000,0.000000,
1,14443.260595,61,0.000000,0.000000,
1,14471.136663,56,774.130944,774.130944,
1,14507.533066,58,374.950812,374.950812,
1,14543.690138,59,385.439310,385.439310,
1,15678.843255,66,0.000000,0.000000,
1,17471.787236,72,0.000000,0.000000,
1,18996.289100,76,0.000000,0.000000,
1,19024.767047,64,3910.107623,3910.107623,
1,20140.861887,80,0.000000,0.000000,
1,20168.022607,67,3971.215473,3971.215473,
1,20202.676711,68,3783.870378,3783.870378,
1,20240.814373,69,3749.768258,3749.768258,
1,20266.949204,71,3170.386303,3170.386303,
1,20943.829136,85,0.000000,0.000000,
1,20969.054273,73,3048.718947,3048.718947,
1,20994.405608,74,2662.161062,2662.161062,
1,21027.721238,75,2539.998900,2539.998900,
1,21054.334445,77,1440.919632,1440.919632,
1,21093.431629,78,1041.044587,1041.044587,
1,21120.300528,79,1030.882872,1030.882872,
1,21154.372447,82,852.313336,852.313336,
1,21318.967953,89,0.000000,0.000000,
1,21348.208881,84,813.550540,813.550540,
1,22466.632875,93,0.000000,0.000000,
1,22491.206973,86,1417.611435,1417.611435,
1,22515.990097,88,1282.446591,1282.446591,
1,22542.073370,87,1271.380254,1271.380254,
1,23703.203434,98,0.000000,0.000000,
1,23726.940119,91,2087.458288,2087.458288,
1,25428.278458,102,0.000000,0.000000,
1,25455.983661,94,2497.654789,2497.654789,
1,25494.448038,95,2257.939944,2257.939944,
1,25526.739164,96,2059.749255,2059.749255,
1,25549.377819,97,1760.554423,1760.554423,
1,25567.786421,104,0.000000,0.000000,
1,25572.118310,99,1715.989681,1715.989681,
1,25596.143159,100,1618.033247,1618.033247,
1,25601.541934,101,751.642144,751.642144,
1,25629.184856,103,94.125619,94.125619,
1,26057.446216,105,0.000000,0.000000,
1,26277.541113,106,0.000000,0.000000,
1,27074.861058,108,0.000000,0.000000,
1,27360.961186,109,0.000000,0.000000,
1,27702.146444,110,0.000000,0.000000,
1,27823.890724,111,0.000000,0.000000,
1,28485.603184,114,0.000000,0.000000,
1,28543.170794,113,0.000000,0.000000,
1,29156.071418,115,0.000000,0.000000,
1,29757.115835,116,0.000000,0.000000,
1,30260.589649,119,0.000000,0.000000,
1,30699.411550,120,0.000000,0.000000,
1,31831.739964,121,0.000000,0.000000,
1,32300.370341,124,0.000000,0.000000,
1,32396.271036,123,0.000000,0.000000,
1,32543.055290,125,0.000000,0.000000,
