attraction,time,availablebicycles,availabledock,replication,
Bicycle A,21,79,1,1,
Bicycle D,30,79,1,1,
Dock B,30,79,1,1,
Dock B,30,80,0,1,
Dock A,33,80,0,1,
Dock B,34,79,1,1,
Bicycle C,34,79,1,1,
Dock C,36,80,0,1,
Bicycle A,38,79,1,1,
Dock B,41,78,2,1,
Dock B,42,79,1,1,
Dock D,46,80,0,1,
Bicycle A,48,78,2,1,
Dock B,49,78,2,1,
Dock B,55,79,1,1,
Bicycle C,55,79,1,1,
Dock C,55,80,0,1,
Dock B,55,78,2,1,
Dock B,58,77,3,1,
Bicycle C,67,79,1,1,
Dock C,67,80,0,1,
Dock B,67,76,4,1,
Bicycle A,69,77,3,1,
Bicycle C,69,79,1,1,
Dock C,69,80,0,1,
Bicycle D,69,79,1,1,
Dock D,69,80,0,1,
Bicycle A,72,76,4,1,
Dock B,72,75,5,1,
Bicycle A,72,75,5,1,
Dock A,72,76,4,1,
Dock B,73,74,6,1,
Bicycle D,73,79,1,1,
Dock D,74,80,0,1,
Dock B,76,75,5,1,
Dock A,77,77,3,1,
Bicycle C,77,79,1,1,
Dock C,77,80,0,1,
Dock B,78,76,4,1,
Bicycle C,78,79,1,1,
Dock C,78,80,0,1,
Dock B,78,77,3,1,
Dock B,81,76,4,1,
Bicycle C,82,79,1,1,
Dock C,82,80,0,1,
Bicycle C,86,79,1,1,
Dock C,86,80,0,1,
Bicycle D,89,79,1,1,
Dock D,89,80,0,1,
Bicycle A,91,76,4,1,
Dock A,92,77,3,1,
Bicycle C,94,79,1,1,
Dock C,94,80,0,1,
Dock B,95,75,5,1,
Dock B,97,76,4,1,
Dock B,101,75,5,1,
Bicycle A,104,76,4,1,
Bicycle D,104,79,1,1,
Dock D,104,80,0,1,
Bicycle C,105,79,1,1,
Dock C,105,80,0,1,
Dock A,106,77,3,1,
Bicycle C,107,79,1,1,
Dock C,107,80,0,1,
Bicycle D,108,79,1,1,
Dock D,108,80,0,1,
Bicycle A,109,76,4,1,
Dock B,109,76,4,1,
Bicycle C,111,79,1,1,
Dock C,111,80,0,1,
Dock A,112,77,3,1,
Dock B,112,75,5,1,
Bicycle C,114,79,1,1,
Dock B,114,74,6,1,
Bicycle C,114,78,2,1,
Bicycle C,115,77,3,1,
Bicycle A,116,76,4,1,
Bicycle C,116,76,4,1,
Dock B,117,75,5,1,
Bicycle D,117,79,1,1,
Dock D,117,80,0,1,
Bicycle A,118,75,5,1,
Dock A,119,76,4,1,
Dock C,120,77,3,1,
Bicycle C,120,76,4,1,
Dock B,121,76,4,1,
Dock C,121,77,3,1,
Bicycle A,122,75,5,1,
Dock B,123,77,3,1,
Dock B,129,78,2,1,
Bicycle C,131,76,4,1,
Bicycle D,132,79,1,1,
Dock D,132,80,0,1,
Bicycle D,134,79,1,1,
Dock D,134,80,0,1,
Bicycle A,134,74,6,1,
Bicycle D,134,79,1,1,
Dock D,134,80,0,1,
Bicycle C,134,75,5,1,
Dock A,135,75,5,1,
Dock B,135,77,3,1,
Dock B,135,76,4,1,
Bicycle C,136,74,6,1,
Dock A,136,76,4,1,
Dock A,137,77,3,1,
Dock B,140,75,5,1,
Bicycle A,140,76,4,1,
Dock B,141,76,4,1,
Dock C,142,75,5,1,
Dock C,143,76,4,1,
Dock B,144,75,5,1,
Bicycle C,144,75,5,1,
Bicycle D,145,79,1,1,
Dock D,145,80,0,1,
Bicycle D,146,79,1,1,
Dock D,146,80,0,1,
Dock B,147,74,6,1,
Dock A,147,77,3,1,
Dock B,147,75,5,1,
Bicycle A,148,76,4,1,
Bicycle C,148,74,6,1,
Bicycle D,148,79,1,1,
Dock D,148,80,0,1,
Dock A,149,77,3,1,
Dock B,149,74,6,1,
Dock C,149,75,5,1,
Bicycle A,150,76,4,1,
Bicycle D,150,79,1,1,
Dock D,150,80,0,1,
Bicycle C,150,74,6,1,
Dock C,151,75,5,1,
Bicycle C,151,74,6,1,
Dock B,151,73,7,1,
Dock B,152,72,8,1,
Dock A,152,77,3,1,
Dock C,153,75,5,1,
Dock A,153,78,2,1,
Dock B,155,73,7,1,
Bicycle A,155,77,3,1,
Dock C,155,76,4,1,
Bicycle A,156,76,4,1,
Dock C,158,77,3,1,
Bicycle C,158,76,4,1,
Dock B,159,74,6,1,
Dock B,160,75,5,1,
Bicycle C,161,75,5,1,
Bicycle D,161,79,1,1,
Dock D,161,80,0,1,
Dock C,161,76,4,1,
Dock B,162,76,4,1,
Bicycle D,162,79,1,1,
Dock D,162,80,0,1,
Bicycle C,163,75,5,1,
Dock B,163,75,5,1,
Bicycle A,164,75,5,1,
Dock A,165,76,4,1,
Dock B,165,74,6,1,
Bicycle C,166,74,6,1,
Dock A,166,77,3,1,
Bicycle C,167,73,7,1,
Dock C,169,74,6,1,
Dock B,169,75,5,1,
Dock B,169,74,6,1,
Bicycle C,171,73,7,1,
Bicycle D,171,79,1,1,
Dock D,171,80,0,1,
Bicycle C,172,72,8,1,
Bicycle A,172,76,4,1,
Dock A,173,77,3,1,
Dock B,173,73,7,1,
Bicycle A,174,76,4,1,
Bicycle A,175,75,5,1,
Dock C,175,73,7,1,
Bicycle D,177,79,1,1,
